M_h_hinv_Msun,M_Msun,R_Mpc,sigma,dlnsigma_dlnM
100000000.0,125000000.0,0.09435888829549634,1.3522647297686785,-0.06919024772935745
122633068.41775644,153291335.52219555,0.10099937365195608,1.3331926179469247,-0.07004884383019672
150388694.6955407,187985868.36942586,0.10810718165884012,1.3141592661186685,-0.07091285063699071
184426270.8585533,230532838.5731916,0.11571520004165023,1.295167881586726,-0.07179115839331629
226167594.92228645,282709493.652858,0.12385863099210859,1.2762199163946826,-0.07268469359091023
277356261.41984177,346695326.7748022,0.13257515404819364,1.2573182928311974,-0.07359316082776035
340130493.8279246,425163117.28490573,0.14190510043682047,1.2384648696209337,-0.07451824568861132
417112461.20565164,521390576.5070645,0.15189163968584882,1.2196619327512044,-0.07545959928670248
511517809.92931455,639397262.4116431,0.1625809793688671,1.2009117792294475,-0.07641830356273033
627289985.8196256,784112482.274532,0.17402257890697204,1.1822164143098384,-0.07739506559210124
769264957.487913,961581196.8598912,0.1862693784167988,1.1635780590754687,-0.07839008754064386
943373221.6299773,1179216527.0374715,0.19937804366368098,1.1449989033094938,-0.07940411475314002
1156887528.3162832,1446109410.395354,0.2134092282533309,1.126481096292734,-0.08043781937055372
1418726674.116599,1773408342.6457489,0.2284278542752025,1.1080268061511123,-0.08149176944475187
1739828052.9303622,2174785066.1629524,0.24450341269606587,1.089638221638048,-0.0825665609114751
2133604526.501411,2667005658.1267633,0.2617102848937129,1.0713175476600771,-0.08366281795839417
2616504698.7488236,3270630873.4360294,0.2801280868185217,1.0530670075015756,-0.08478118050210288
3208699997.370444,4010874996.7130547,0.29984203737531545,1.034888844436019,-0.08592231261917815
3934927263.095845,4918659078.869806,0.32094335273001184,1.0167853205423558,-0.08708687391717489
4825522042.741279,6031902553.426598,0.3435296683655094,0.998758730378138,-0.08827551516359552
5917685748.18883,7397107185.236037,0.3677054908396654,0.980811400959602,-0.08948893731028666
7257039612.324202,9071299515.40525,0.39358268133563623,0.9629456809550163,-0.09072785151485718
8899530352.885223,11124412941.10653,0.42128097324196634,0.9451639573851007,-0.09199297262354429
10913767146.51274,13642208933.140923,0.45092852615725343,0.9274686474949361,-0.09328505600580494
13383887531.73759,16729859414.671988,0.4826625188827711,0.9098622007384881,-0.09460487256729264
16413071953.751266,20516339942.189083,0.5166297841468102,0.892347100894203,-0.09595321321113925
20127853758.499386,25159817198.12423,0.5529874879976046,0.874925866308195,-0.09733089242430704
24683404670.686512,30854255838.35814,0.5919038570083744,0.8576010507234492,-0.09873874804227223
30270016537.634556,37837520672.04319,0.6335589566592642,0.840375243732511,-0.10017763047556816
37121050090.663574,46401312613.32947,0.6781455244977341,0.8232510752856592,-0.10164840913822842
45522682755.0731,56903353443.84137,0.7258698619324181,0.8062312136893733,-0.10315198075739684
55825862688.62701,69782328360.78375,0.7769527887867793,0.7893183671199856,-0.10468925737143131
68460968385.74672,85576210482.1834,0.8316306650292595,0.7725152855911317,-0.10626117056218376
83955786199.95103,104944732749.93878,0.8901564844074553,0.7558247607525436,-0.10786868535298799
102957556731.25127,128696945914.06407,0.9528010450465564,0.7392496233361372,-0.1095128056936352
126260010987.48578,157825013734.3572,1.0198542024283734,0.7227927415202682,-0.11119457140557776
154836525658.5496,193545657073.18698,1.0916262105484886,0.7064570196740236,-0.1129150534234975
189880782446.52612,237350978058.15765,1.1684491574570404,0.6902453982877345,-0.11467534895585274
232856629849.81964,291070787312.27454,1.2506785018253497,0.6741608540492315,-0.11647658255817173
285559230199.01117,356949037748.7639,1.33869471764809,0.6582063992231482,-0.118319903453732
350190046143.172,437737557678.96497,1.432905054690991,0.6423850821409036,-0.12020648064708972
429448798878.92725,536810998598.65906,1.5337454228296503,0.6266999874322182,-0.12213749112045891
526646239348.4281,658307799185.535,1.6416824089982713,0.611154238799807,-0.12411412893489704
645842443019.6991,807303053774.6238,1.7572154360806906,0.5957509959667532,-0.12613762383616534
792016405019.254,990020506274.0675,1.8808790737328902,0.5804934520838738,-0.1282092531827348
971274019847.1168,1214092524808.896,2.0132455118291195,0.5653848277702297,-0.1303303576533721
1191103133283.008,1488878916603.76,2.154927207976208,0.5504283651215148,-0.1325023172706712
1460686320364.9858,1825857900456.2322,2.3065797213461154,0.5356273277009586,-0.13472653575783422
1791284454622.0022,2239105568277.5024,2.4689047459388114,0.5209849977988715,-0.13700443900031956
2196707090793.235,2745883863491.544,2.6426533573103077,0.5065046758330717,-0.1393374609085285
2693889309590.164,3367361636987.705,2.828629487788474,0.49218967958299115,-0.14172705311733602
3303599120128.346,4129498900160.4326,3.0276936462563784,0.47804334025818107,-0.14417467365899816
4051304969235.378,5064131211544.222,3.2407668997144827,0.4640690026798836,-0.14668178230496864
4968239594734.388,6210299493417.984,3.468835135044473,0.45027002081987716,-0.14924987917553723
6092704661368.687,7615880826710.857,3.7129536206936438,0.4366497493225726,-0.15188051776613642
7471670675868.066,9339588344835.082,3.9742518893868604,0.42321153631172986,-0.15457531801710056
9162739011886.73,11453423764858.412,4.253938964458256,0.4099587127865253,-0.15733594293634567
11236548001387.516,14045685001734.395,4.5533089539847955,0.39689458949951584,-0.16016403181302907
13779723598335.54,17224654497919.424,4.87374703860576,0.38402245664032486,-0.1630612013015944
16898497868124.621,21123122335155.773,5.216735880733693,0.37134557814954505,-0.1660290534474913
20723146452190.297,25903933065237.87,5.583862484811997,0.3588671876932706,-0.16906920226233169
25413430367026.39,31766787958782.99,5.97682554036178,0.34659047724891207,-0.17218330525405534
31165269449294.367,38956586811617.95,6.39744328179379,0.33451858738395446,-0.17537300632826192
38218926206331.15,47773657757913.93,6.84766190135292,0.3226546032362418,-0.17863992248434535
46869041923141.92,58586302403927.4,7.329564554121792,0.3110015448941545,-0.18198564090904235
57476944248353.586,71846180310441.98,7.845380996749331,0.299562361507902,-0.18541171530416234
70485740364518.89,88107175455648.61,8.397497904502757,0.2883399202817633,-0.18891972493921871
86438826205982.61,108048532757478.25,8.98846991437979,0.2773369918400474,-0.19251124334738368
106002584880688.25,132503231100860.31,9.621031445377257,0.26655624234814257,-0.1961878171690099
129994222441324.22,162492778051655.25,10.298109350608515,0.25600022048646,-0.19995097494326552
159415903745600.28,199269879682000.34,11.022836459810822,0.2456713472650811,-0.20380217770938813
195496614309125.94,244370767886407.4,11.798566074903334,0.2355719070484205,-0.2077428582531149
239743496780107.84,299679370975134.8,12.628887485667114,0.22570403200950037,-0.21177441224093752
294004806433471.4,367506008041839.2,13.517642577337188,0.21606969309606952,-0.21589815256563316
360547115425049.9,450683894281312.3,14.468943606950388,0.20667068805705258,-0.22011534851200443
442149990737448.7,552687488421810.8,15.487192230699613,0.19750862782417064,-0.22442716162442178
542222100650159.2,677777625812699.0,16.577099870333665,0.18858492929694792,-0.22883468512136051
664943599666503.2,831179499583129.0,17.74370951283804,0.17990079792793695,-0.23333904810304062
815440739518518.6,1019300924398148.2,18.992419044263315,0.17145721279740245,-0.23794135534701066
1000000000000000.0,1250000000000000.0,20.329006225666074,0.16325491575300363,-0.24259290232766162
